commit_hash,author,date,message,file_name,lines_added,lines_deleted,nloc
25de45cbb6fc7304f67b685034151f9ac6ea0df5,Matt Robenolt,2019-01-03 17:17:45-08:00,"Add support for PathLike objects in static file helpers

See: https://www.python.org/dev/peps/pep-0519/

This is mostly encountered with pathlib in python 3, but this API
suggests any PathLike object can be treated like a filepath with
`__fspath__` function.",CHANGES.rst,7,4,
25de45cbb6fc7304f67b685034151f9ac6ea0df5,Matt Robenolt,2019-01-03 17:17:45-08:00,"Add support for PathLike objects in static file helpers

See: https://www.python.org/dev/peps/pep-0519/

This is mostly encountered with pathlib in python 3, but this API
suggests any PathLike object can be treated like a filepath with
`__fspath__` function.",_compat.py,9,0,59.0
25de45cbb6fc7304f67b685034151f9ac6ea0df5,Matt Robenolt,2019-01-03 17:17:45-08:00,"Add support for PathLike objects in static file helpers

See: https://www.python.org/dev/peps/pep-0519/

This is mostly encountered with pathlib in python 3, but this API
suggests any PathLike object can be treated like a filepath with
`__fspath__` function.",helpers.py,10,1,415.0
25de45cbb6fc7304f67b685034151f9ac6ea0df5,Matt Robenolt,2019-01-03 17:17:45-08:00,"Add support for PathLike objects in static file helpers

See: https://www.python.org/dev/peps/pep-0519/

This is mostly encountered with pathlib in python 3, but this API
suggests any PathLike object can be treated like a filepath with
`__fspath__` function.",test_helpers.py,36,0,755.0
2b74cf9f2d95efe6a63a8fad49a1364d42530622,Aly Sivji,2018-11-13 15:41:48-06:00,Add SPA pattern to docs,index.rst,1,0,
2b74cf9f2d95efe6a63a8fad49a1364d42530622,Aly Sivji,2018-11-13 15:41:48-06:00,Add SPA pattern to docs,singlepageapplications.rst,24,0,
d0ceb16be956ea3339dd0b7ab67ba3aceac6a9a3,Grey Li,2018-12-01 09:01:12+08:00,Use imperative tense for CLI help text,cli.py,3,3,557.0
4f638b9c28a07a951e46c348388c725c78fd5498,Colin Adams,2018-12-07 11:06:38-05:00,"Clarify prefixing of URLs for blueprint endpoints

Clarify that endpoint names are prefixed by the name of the blueprint,
but the URL is not automatically prefixed.",blueprints.rst,4,3,
deb211cf13edd4d9b2c06d6ecc60425f275b5d95,garenchan,2018-12-23 23:55:42+08:00,Add Python 3.7 to CI.,.appveyor.yml,1,0,
deb211cf13edd4d9b2c06d6ecc60425f275b5d95,garenchan,2018-12-23 23:55:42+08:00,Add Python 3.7 to CI.,.travis.yml,5,2,
deb211cf13edd4d9b2c06d6ecc60425f275b5d95,garenchan,2018-12-23 23:55:42+08:00,Add Python 3.7 to CI.,tox.ini,4,4,
8a14c6d67d09d2a27c1d4685415d8ab0d6448561,David Lord,2019-01-06 07:52:03-08:00,"use specific pypy versions for travis xenial
remove 3.6 from appveyor, reduce in tox
remove deprecated travis feature ""sudo: false""
split docs and devel,lowest travis envs
remove osx py2 env in attempt to finish faster
move travis matrix to python key",.appveyor.yml,0,1,
8a14c6d67d09d2a27c1d4685415d8ab0d6448561,David Lord,2019-01-06 07:52:03-08:00,"use specific pypy versions for travis xenial
remove 3.6 from appveyor, reduce in tox
remove deprecated travis feature ""sudo: false""
split docs and devel,lowest travis envs
remove osx py2 env in attempt to finish faster
move travis matrix to python key",.travis.yml,18,23,
8a14c6d67d09d2a27c1d4685415d8ab0d6448561,David Lord,2019-01-06 07:52:03-08:00,"use specific pypy versions for travis xenial
remove 3.6 from appveyor, reduce in tox
remove deprecated travis feature ""sudo: false""
split docs and devel,lowest travis envs
remove osx py2 env in attempt to finish faster
move travis matrix to python key",tox.ini,3,3,
90aef1b2cff8ac17eec0e69a3cfe1c55c94f9b12,Jesse Seldess,2018-12-14 11:59:16-05:00,Fix typos found while completing the Flask tutorial,blog.rst,1,1,
90aef1b2cff8ac17eec0e69a3cfe1c55c94f9b12,Jesse Seldess,2018-12-14 11:59:16-05:00,Fix typos found while completing the Flask tutorial,database.rst,1,1,
02df042416c312f6c04a5ded8c9404386585c122,Rohan Talip,2018-12-27 00:57:00-08:00,"Corrected a typo in a docstring: ""Help object"" --> ""Helper object""",cli.py,1,1,557.0
24325ecb69a2c51d5b3da3000df715dfd9aba2de,Mark Amery,2018-12-27 22:04:27+00:00,"Clarify and add detail to tojson docs
Fix some confusing and obsolete prose.",api.rst,4,4,
24325ecb69a2c51d5b3da3000df715dfd9aba2de,Mark Amery,2018-12-27 22:04:27+00:00,"Clarify and add detail to tojson docs
Fix some confusing and obsolete prose.",templating.rst,14,5,
e4ebbd3f5befca0f6891def3ebf292f756ec5f3b,xtreak,2018-12-29 16:46:14+05:30,Fix DeprecationWarning on collections import,_compat.py,2,0,56.0
